Código IBGE;Município;UF;Operadora;Tecnologia;% área coberta;% moradores cobertos;% domicílios cobertos;Área km2;Moradores;Domicílios
1101450;Parecis;RO;Todas;4G;0,00;0,00;0,00;2548,692737;4758;1389
1200054;Assis Brasil;AC;Todas;4G;0,00;0,00;0,00;4974,162384;6023;1539
1200344;Manoel Urbano;AC;Todas;4G;0,00;0,00;0,00;10634,324403;7942;1858
1200393;Porto Walter;AC;Todas;4G;0,00;0,00;0,00;6443,830328;9090;1702
1200708;Xapuri;AC;Todas;4G;0,00;0,00;0,00;5347,513903;16044;4490
1300086;Anamã;AM;Todas;4G;0,00;0,00;0,00;2453,941917;10186;1883
1400050;Alto Alegre;RR;Todas;4G;0,00;0,00;0,00;25567,013668;16418;3700
1400704;Uiramutã;RR;Todas;4G;0,00;0,00;0,00;8065,563119;8364;1444
1506583;Santa Maria das Barreiras;PA;Todas;4G;0,00;0,00;0,00;10330,213296;17059;5141
1701903;Araguacema;TO;Todas;4G;0,00;0,00;0,00;2778,44958;6232;1828
1703909;Caseara;TO;Todas;4G;0,00;0,00;0,00;1691,639476;4577;1341
1704600;Chapada de Areia;TO;Todas;4G;0,00;0,00;0,00;659,24847;1334;454
1705607;Conceição do Tocantins;TO;Todas;4G;0,00;0,00;0,00;2500,759841;4180;1158
1708304;Goianorte;TO;Todas;4G;0,00;0,00;0,00;1800,983418;4954;1526
1711506;Jaú do Tocantins;TO;Todas;4G;0,00;0,00;0,00;2173,047387;3499;1141
1715754;Palmeirópolis;TO;Todas;4G;0,00;0,00;0,00;1703,944359;7307;2362
1720853;Sucupira;TO;Todas;4G;0,00;0,00;0,00;1025,518766;1742;551
2100303;Aldeias Altas;MA;Todas;4G;0,00;0,00;0,00;1942,152117;23932;5786
2105476;Jenipapo dos Vieiras;MA;Todas;4G;0,00;0,00;0,00;1962,900483;15424;3638
2105989;Lajeado Novo;MA;Todas;4G;0,00;0,00;0,00;1047,732606;6907;1831
2107902;Passagem Franca;MA;Todas;4G;0,00;0,00;0,00;1358,319169;17497;4568
2108058;Paulino Neves;MA;Todas;4G;0,00;0,00;0,00;979,177225;14506;2926
2201309;Barreiras do Piauí;PI;Todas;4G;0,00;0,00;0,00;2028,283168;3234;796
2202026;Buriti dos Montes;PI;Todas;4G;0,00;0,00;0,00;2652,095913;7969;2056
2202778;Colônia do Piauí;PI;Todas;4G;0,00;0,00;0,00;947,891094;7419;2006
2203008;Cristalândia do Piauí;PI;Todas;4G;0,00;0,00;0,00;1202,917347;7801;2013
2203354;Dirceu Arcoverde;PI;Todas;4G;0,00;0,00;0,00;1017,062477;6669;1866
2203453;Dom Inocêncio;PI;Todas;4G;0,00;0,00;0,00;3870,169015;9237;2557
2204600;Hugo Napoleão;PI;Todas;4G;0,00;0,00;0,00;224,454181;3770;1079
2206357;Milton Brandão;PI;Todas;4G;0,00;0,00;0,00;1371,750384;6766;1712
2209872;São João da Fronteira;PI;Todas;4G;0,00;0,00;0,00;764,879533;5602;1511
2210623;Sebastião Barros;PI;Todas;4G;0,00;0,00;0,00;893,715671;3539;889
2304269;Deputado Irapuan Pinheiro;CE;Todas;4G;0,00;0,00;0,00;470,424342;9073;2762
2304608;General Sampaio;CE;Todas;4G;0,00;0,00;0,00;205,812069;6125;1549
2310407;Paramoti;CE;Todas;4G;0,00;0,00;0,00;482,591467;11276;3010
2402105;Campo Redondo;RN;Todas;4G;0,00;0,00;0,00;213,726831;10262;2876
2410256;Porto do Mangue;RN;Todas;4G;0,00;0,00;0,00;318,96772;5184;1441
2412807;São Rafael;RN;Todas;4G;0,00;0,00;0,00;469,100579;8081;2410
2503100;Cabaceiras;PB;Todas;4G;0,00;0,00;0,00;452,929309;5021;1508
2506202;Frei Martinho;PB;Todas;4G;0,00;0,00;0,00;244,317284;2923;960
2510303;Nova Palmeira;PB;Todas;4G;0,00;0,00;0,00;310,352852;4355;1310
2513984;São Francisco;PB;Todas;4G;0,00;0,00;0,00;95,05414;3362;1004
2919009;Lajedinho;BA;Todas;4G;0,00;0,00;0,00;776,066096;3924;1114
2924058;Pé de Serra;BA;Todas;4G;0,00;0,00;0,00;616,180108;13703;4056
2924702;Piripá;BA;Todas;4G;0,00;0,00;0,00;439,626978;12708;3349
3101300;Alagoa;MG;Todas;4G;0,00;0,00;0,00;161,355618;2679;866
3102704;Cachoeira de Pajeú;MG;Todas;4G;0,00;0,00;0,00;695,672332;8930;2551
3105202;Bandeira;MG;Todas;4G;0,00;0,00;0,00;483,788859;4981;1517
3107000;Biquinhas;MG;Todas;4G;0,00;0,00;0,00;458,947691;2626;977
3108255;Bonito de Minas;MG;Todas;4G;0,00;0,00;0,00;3904,912027;9652;2280
3115607;Cedro do Abaeté;MG;Todas;4G;0,00;0,00;0,00;283,211024;1210;445
3122207;Divinolândia de Minas;MG;Todas;4G;0,00;0,00;0,00;133,120076;7008;1920
3122454;Divisópolis;MG;Todas;4G;0,00;0,00;0,00;572,925692;8961;2417
3122603;Dom Joaquim;MG;Todas;4G;0,00;0,00;0,00;398,821888;4532;1333
3123403;Doresópolis;MG;Todas;4G;0,00;0,00;0,00;152,912074;1439;494
3127503;Gonzaga;MG;Todas;4G;0,00;0,00;0,00;209,347546;5900;1524
3131406;Ipiaçu;MG;Todas;4G;0,00;0,00;0,00;466,01993;4097;1410
3131802;Itabirinha;MG;Todas;4G;0,00;0,00;0,00;208,982124;10642;3252
3135076;Jampruca;MG;Todas;4G;0,00;0,00;0,00;517,095246;5017;1490
3135456;Jenipapo de Minas;MG;Todas;4G;0,00;0,00;0,00;284,452905;7090;1750
3136504;Jordânia;MG;Todas;4G;0,00;0,00;0,00;546,705289;10237;3005
3138351;Leme do Prado;MG;Todas;4G;0,00;0,00;0,00;280,036122;4799;1326
3138906;Machacalis;MG;Todas;4G;0,00;0,00;0,00;332,37788;6960;2177
3140100;Marilac;MG;Todas;4G;0,00;0,00;0,00;158,809073;4213;1308
3140555;Mata Verde;MG;Todas;4G;0,00;0,00;0,00;227,515977;7859;2225
3141306;Medeiros;MG;Todas;4G;0,00;0,00;0,00;946,436789;3422;1121
3141900;Minduri;MG;Todas;4G;0,00;0,00;0,00;219,774091;3809;1128
3144201;Nacip Raydan;MG;Todas;4G;0,00;0,00;0,00;233,493029;3119;909
3146404;Paineiras;MG;Todas;4G;0,00;0,00;0,00;637,308865;4587;1663
3153301;Presidente Kubitschek;MG;Todas;4G;0,00;0,00;0,00;189,234832;2954;760
3156007;Rio Vermelho;MG;Todas;4G;0,00;0,00;0,00;986,561328;13600;3773
3156601;Rubim;MG;Todas;4G;0,00;0,00;0,00;965,173952;9889;3062
3157500;Santa Efigênia de Minas;MG;Todas;4G;0,00;0,00;0,00;131,965368;4588;1323
3158102;Santa Maria do Salto;MG;Todas;4G;0,00;0,00;0,00;440,605003;5278;1596
3161304;São Francisco de Sales;MG;Todas;4G;0,00;0,00;0,00;1128,863742;5737;2041
3163003;São José da Safira;MG;Todas;4G;0,00;0,00;0,00;213,88081;4074;1163
3165503;Sardoá;MG;Todas;4G;0,00;0,00;0,00;141,903727;5572;1491
3166501;Serra Azul de Minas;MG;Todas;4G;0,00;0,00;0,00;218,59472;4216;1118
3170305;Umburatiba;MG;Todas;4G;0,00;0,00;0,00;405,833787;2692;838
3170602;Vargem Bonita;MG;Todas;4G;0,00;0,00;0,00;409,887697;2158;798
3171907;Virgolândia;MG;Todas;4G;0,00;0,00;0,00;281,022379;5646;1764
4311254;Lagoão;RS;Todas;4G;0,00;0,00;0,00;383,601182;6164;1938
4314472;Pinhal Grande;RS;Todas;4G;0,00;0,00;0,00;477,124182;4463;1393
4318622;São José dos Ausentes;RS;Todas;4G;0,00;0,00;0,00;1173,948215;3281;1095
5002803;Caracol;MS;Todas;4G;0,00;0,00;0,00;2940,250704;5379;1569
5003900;Figueirão;MS;Todas;4G;0,00;0,00;0,00;4882,861236;2924;1037
5006903;Porto Murtinho;MS;Todas;4G;0,00;0,00;0,00;17744,403653;15333;4097
5100359;Alto Boa Vista;MT;Todas;4G;0,00;0,00;0,00;2240,431466;5218;1467
5100805;Apiacás;MT;Todas;4G;0,00;0,00;0,00;20377,507;8253;2464
5101209;Araguainha;MT;Todas;4G;0,00;0,00;0,00;687,978039;1096;387
5101852;Bom Jesus do Araguaia;MT;Todas;4G;0,00;0,00;0,00;4274,216521;4995;1536
5102603;Campinápolis;MT;Todas;4G;0,00;0,00;0,00;5967,354979;14295;2910
5102694;Canabrava do Norte;MT;Todas;4G;0,00;0,00;0,00;3452,683416;4762;1407
5102850;Castanheira;MT;Todas;4G;0,00;0,00;0,00;3909,532023;8150;2513
5103254;Colniza;MT;Todas;4G;0,00;0,00;0,00;27947,907943;25936;7640
5103858;Gaúcha do Norte;MT;Todas;4G;0,00;0,00;0,00;16930,665365;6221;1517
5104542;Itanhangá;MT;Todas;4G;0,00;0,00;0,00;2898,073004;5233;1570
5105234;Lambari D'Oeste;MT;Todas;4G;0,00;0,00;0,00;1763,877253;5417;1689
5106208;Nova Brasilândia;MT;Todas;4G;0,00;0,00;0,00;3281,884253;4563;1450
5106240;Nova Ubiratã;MT;Todas;4G;0,00;0,00;0,00;12706,679688;8767;2748
5106281;Novo São Joaquim;MT;Todas;4G;0,00;0,00;0,00;5035,154105;6009;2063
5106455;Planalto da Serra;MT;Todas;4G;0,00;0,00;0,00;2455,430101;2718;863
5106778;Porto Alegre do Norte;MT;Todas;4G;0,00;0,00;0,00;3972,263852;10695;3008
5107180;Ribeirão Cascalheira;MT;Todas;4G;0,00;0,00;0,00;11354,809404;8796;2701
5107768;Santa Rita do Trivelato;MT;Todas;4G;0,00;0,00;0,00;4728,203597;2354;717
5107776;Santa Terezinha;MT;Todas;4G;0,00;0,00;0,00;6467,402813;7381;2039
5107883;Serra Nova Dourada;MT;Todas;4G;0,00;0,00;0,00;1500,395524;1365;439
5108956;Nova Monte Verde;MT;Todas;4G;0,00;0,00;0,00;5248,542814;8008;2496
5200852;Americano do Brasil;GO;Todas;4G;0,00;0,00;0,00;133,562872;5488;1922
5200902;Amorinópolis;GO;Todas;4G;0,00;0,00;0,00;408,525126;3529;1286
5204201;Cachoeira de Goiás;GO;Todas;4G;0,00;0,00;0,00;422,752954;1417;494
5207352;Edealina;GO;Todas;4G;0,00;0,00;0,00;603,654108;3721;1362
5209457;Guarinos;GO;Todas;4G;0,00;0,00;0,00;595,866546;2277;809
5211602;Ivolândia;GO;Todas;4G;0,00;0,00;0,00;1257,661002;2657;985
5212956;Matrinchã;GO;Todas;4G;0,00;0,00;0,00;1150,893886;4353;1490
5213400;Moiporá;GO;Todas;4G;0,00;0,00;0,00;460,623611;1749;636
5214051;Mundo Novo;GO;Todas;4G;0,00;0,00;0,00;2146,639957;6405;2166
5214705;Nova América;GO;Todas;4G;0,00;0,00;0,00;212,024701;2250;775
5214838;Nova Crixás;GO;Todas;4G;0,00;0,00;0,00;7298,772334;11843;3934
5215207;Novo Brasil;GO;Todas;4G;0,00;0,00;0,00;649,948334;3501;1332
