Código IBGE;Município;UF;Operadora;Tecnologia;% área coberta;% moradores cobertos;% domicílios cobertos;Área km2;Moradores;Domicílios
4127601;Tijucas do Sul;PR;Todas;2G;61,45;78,76;78,68;671,888813;14447;4518
2508604;Lucena;PB;Todas;2G;61,53;94,09;94,78;88,943389;11682;3102
2702702;Feliz Deserto;AL;Todas;2G;61,56;85,49;86,12;91,841409;4332;1202
3525300;Jaú;SP;Todas;2G;61,60;98,96;99,00;685,761051;130390;40945
4310504;Iraí;RS;Todas;2G;61,62;85,48;85,61;180,962326;7954;2641
2904704;Buerarema;BA;Todas;2G;61,71;92,62;92,65;230,45937;18572;5489
4115804;Medianeira;PR;Todas;2G;61,76;96,22;96,51;328,733067;41643;13401
3300407;Barra Mansa;RJ;Todas;2G;61,79;98,74;98,75;547,226076;177544;56543
3509452;Campina do Monte Alegre;SP;Todas;2G;61,80;97,80;98,16;185,031058;5540;1808
3529609;Meridiano;SP;Todas;2G;61,83;88,51;90,10;229,245588;3834;1262
2509305;Mataraca;PB;Todas;2G;61,85;88,83;88,59;184,299321;7367;1956
4125506;São José dos Pinhais;PR;Todas;2G;61,86;98,78;98,78;946,434935;263348;80714
2611309;Pombos;PE;Todas;2G;61,89;88,19;89,12;203,18054;23941;7213
3153905;Raposos;MG;Todas;2G;61,92;99,66;99,61;72,068185;15342;4379
2929404;São Miguel das Matas;BA;Todas;2G;61,94;69,92;71,20;214,408474;10396;3098
2509396;Maturéia;PB;Todas;2G;61,98;86,63;87,93;83,68707;5928;1674
2612307;Saloá;PE;Todas;2G;61,98;83,75;83,88;252,082609;15271;4494
3511300;Cedral;SP;Todas;2G;62,01;92,20;92,67;197,687725;7940;2615
4203709;Canelinha;SC;Todas;2G;62,03;91,39;90,54;152,559991;10600;3211
3305406;Sapucaia;RJ;Todas;2G;62,04;91,11;91,41;541,711325;17498;5559
3301009;Campos dos Goytacazes;RJ;Todas;2G;62,08;96,83;96,75;4026,694991;461375;142416
4201505;Armazém;SC;Todas;2G;62,08;85,02;85,99;173,577523;7732;2453
2304657;Graça;CE;Todas;2G;62,19;66,53;67,07;281,871961;15022;4272
3201605;Conceição da Barra;ES;Todas;2G;62,20;95,17;95,45;1184,911362;28362;8482
2706109;Ouro Branco;AL;Todas;2G;62,21;83,56;85,46;204,7706;10854;2951
2901601;Antas;BA;Todas;2G;62,21;85,00;86,22;321,607894;16949;4624
3163102;São José da Varginha;MG;Todas;2G;62,24;90,38;90,50;205,50082;4195;1305
4309258;Guabiju;RS;Todas;2G;62,26;79,79;81,14;148,39305;1598;531
3540804;Potirendaba;SP;Todas;2G;62,27;97,11;97,05;342,375851;15429;4983
2607653;Itambé;PE;Todas;2G;62,31;92,59;93,18;304,810746;35370;9457
3508603;Cachoeira Paulista;SP;Todas;2G;62,31;95,74;95,59;287,989693;29923;9068
2600609;Alagoinha;PE;Todas;2G;62,37;71,47;71,61;217,829385;13758;4107
3523701;Itirapuã;SP;Todas;2G;62,44;93,79;93,77;161,118221;5888;1712
2928802;Santo Estêvão;BA;Todas;2G;62,57;88,55;88,70;362,96191;47724;13126
2512606;Quixaba;PB;Todas;2G;62,57;74,56;76,17;156,68322;1671;430
4204707;Cunha Porã;SC;Todas;2G;62,59;86,04;86,90;217,914728;10573;3579
4110656;Iracema do Oeste;PR;Todas;2G;62,59;94,52;94,70;81,538429;2574;851
2300507;Alcântaras;CE;Todas;2G;62,60;81,93;83,13;138,604617;10747;2852
5219100;Santa Bárbara de Goiás;GO;Todas;2G;62,61;96,67;96,62;139,597822;5747;1858
3508306;Cabrália Paulista;SP;Todas;2G;62,62;96,48;96,49;239,909892;4356;1380
3527256;Lourdes;SP;Todas;2G;62,70;94,64;94,77;113,742718;2101;713
3200508;Apiacá;ES;Todas;2G;62,73;90,56;91,55;193,768401;7511;2457
3205150;Vila Pavão;ES;Todas;2G;62,75;76,54;77,20;433,257481;8624;2800
3117900;Congonhal;MG;Todas;2G;62,76;90,40;90,59;205,125109;10361;3384
2608701;Lagoa dos Gatos;PE;Todas;2G;62,82;89,15;90,74;222,870564;15593;4667
3538501;Piquete;SP;Todas;2G;62,85;97,99;97,92;175,996019;14013;4410
4323200;Victor Graeff;RS;Todas;2G;62,85;77,79;78,81;238,273175;2985;1041
